"ENTREPRISES";"PROJETS";"THEMATIQUE";"PAGE";"VAGUE";"URL_FICH_ORIGINE";"REALISATION_DEBUT";"REALISATION_FIN";"MONTANT";"AIDE";"DEPT"
"MagIA Diagnostics";"MagIA Diag IST";"SANTÉ";57;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2019";658012;296105;"38"
"MEDIMPRINT";"DETIC";"SANTÉ";58;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2022";2129589;958315;"38"
"METAFORA biosystems";"CellMETA-analyzer";"SANTÉ";59;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";2245422;1010439;"75"
"MODETIC / L’équipe 1083";"MONCOTON";"ECONOMIE CIRCULAIRE";27;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2022";2011782;905302;"26"
"NEXT4";"ISCT - International Supply Chain Trackers";"ESPACE";66;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2021";687293;309281;"31"
"NEXTFLOW Software";"FINISHH";"NUMÉRIQUE";44;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";717966;323084;"44"
"Nomad Education";"Revision Adaptive 2.0";"NUMÉRIQUE";45;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";795068;357780;"75"
"NovaGray";"NovaGray Chir";"SANTÉ";60;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";783780;352701;"34"
"OKEENEA";"KLEVER";"SOCIÉTÉ INCLUSIVE ET SOLIDAIRE";71;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";783472;352562;"69"
"OROSOUND";"DASH";"EXPOSITIONS CHRONIQUES ET RISQUES SANITAIRES";34;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";778899;334755;"75"
"Payfit";"Payfit";"NUMÉRIQUE";46;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";3942493;1379872;"75"
"POLLEN Metrology";"PLATYPUS BOOST";"NUMÉRIQUE";47;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";797753;358988;"38"
"Rheonova";"MucoCF";"SANTÉ";61;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";783690;352660;"38"
"ROSI";"REDESIGN";"ECONOMIE CIRCULAIRE";28;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2022";772093;347422;"38"
"SAVE INNOVATIONS";"S-PG";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";17;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";778117;342233;"38"
